LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, us-tech-100-index
"", ASIC, us-wall-street-30-index
"", ASIC, sp-500-index
"", ASIC, germany-40-index
"", ASIC, india-50-index
"", ASIC, hong-kong-50-index
"", ASIC, ftse-100-uk-market-index
"", ASIC, france-40-index
"", ASIC, cboe-volatility-index-index
"", ASIC, us-smallcap-2000-index
"", ASIC, japan-225-index
"", ASIC, us-dollar-index
"", ASIC, ftse-china-a50-index
"", ASIC, euro-stoxx50-sx5e-index
"", ASIC, spain-35-index
"", ASIC, australia-200-index
"", ASIC, netherlands-exchange-25-index
"", ASIC, swiss-stock-exchange-20-index
"", ASIC, ftse-borsa-italiana-index-40-index
"", ASIC, msci-singapore-index-25-index
"", ASIC, cboe-volatility-index-futures-aug-22-index
"", ASIC, cboe-volatility-index-futures-vxn21-index
"", ASIC, cboe-volatility-index-futures-jul-22-index
"", ASIC, cboe-volatility-index-futures-may-2022-index
"", ASIC, cboe-volatility-index-futures-vxv21-index
"", ASIC, cboe-volatility-index-futures-oct-22-index
"", ASIC, cboe-volatility-index-futures-sept-22-index
"", ASIC, italy-40-futures-sep-22-index
"", FCA, us-tech-100-index
"", FCA, us-wall-street-30-index
"", FCA, sp-500-index
"", FCA, germany-40-index
"", FCA, india-50-index
"", FCA, hong-kong-50-index
"", FCA, ftse-100-uk-market-index
"", FCA, france-40-index
"", FCA, cboe-volatility-index-index
"", FCA, us-smallcap-2000-index
"", FCA, japan-225-index
"", FCA, us-dollar-index
"", FCA, ftse-china-a50-index
"", FCA, euro-stoxx50-sx5e-index
"", FCA, spain-35-index
"", FCA, australia-200-index
"", FCA, netherlands-exchange-25-index
"", FCA, swiss-stock-exchange-20-index
"", FCA, ftse-borsa-italiana-index-40-index
"", FCA, msci-singapore-index-25-index
"", FCA, cboe-volatility-index-futures-aug-22-index
"", FCA, cboe-volatility-index-futures-vxn21-index
"", FCA, cboe-volatility-index-futures-jul-22-index
"", FCA, cboe-volatility-index-futures-may-2022-index
"", FCA, cboe-volatility-index-futures-vxv21-index
"", FCA, cboe-volatility-index-futures-oct-22-index
"", FCA, cboe-volatility-index-futures-sept-22-index
"", FCA, italy-40-futures-sep-22-index
"", CYSEC, us-tech-100-index
"", CYSEC, us-wall-street-30-index
"", CYSEC, sp-500-index
"", CYSEC, germany-40-index
"", CYSEC, india-50-index
"", CYSEC, hong-kong-50-index
"", CYSEC, ftse-100-uk-market-index
"", CYSEC, france-40-index
"", CYSEC, cboe-volatility-index-index
"", CYSEC, us-smallcap-2000-index
"", CYSEC, japan-225-index
"", CYSEC, us-dollar-index
"", CYSEC, ftse-china-a50-index
"", CYSEC, euro-stoxx50-sx5e-index
"", CYSEC, spain-35-index
"", CYSEC, australia-200-index
"", CYSEC, netherlands-exchange-25-index
"", CYSEC, swiss-stock-exchange-20-index
"", CYSEC, ftse-borsa-italiana-index-40-index
"", CYSEC, msci-singapore-index-25-index
"", CYSEC, cboe-volatility-index-futures-aug-22-index
"", CYSEC, cboe-volatility-index-futures-vxn21-index
"", CYSEC, cboe-volatility-index-futures-jul-22-index
"", CYSEC, cboe-volatility-index-futures-may-2022-index
"", CYSEC, cboe-volatility-index-futures-vxv21-index
"", CYSEC, cboe-volatility-index-futures-oct-22-index
"", CYSEC, cboe-volatility-index-futures-sept-22-index
"", CYSEC, italy-40-futures-sep-22-index
"", NBRB, us-tech-100-index
"", NBRB, us-wall-street-30-index
"", NBRB, sp-500-index
"", NBRB, germany-40-index
"", NBRB, india-50-index
"", NBRB, hong-kong-50-index
"", NBRB, ftse-100-uk-market-index
"", NBRB, france-40-index
"", NBRB, cboe-volatility-index-index
"", NBRB, us-smallcap-2000-index
"", NBRB, japan-225-index
"", NBRB, us-dollar-index
"", NBRB, ftse-china-a50-index
"", NBRB, euro-stoxx50-sx5e-index
"", NBRB, spain-35-index
"", NBRB, australia-200-index
"", NBRB, netherlands-exchange-25-index
"", NBRB, swiss-stock-exchange-20-index
"", NBRB, ftse-borsa-italiana-index-40-index
"", NBRB, msci-singapore-index-25-index
"", NBRB, cboe-volatility-index-futures-aug-22-index
"", NBRB, cboe-volatility-index-futures-vxn21-index
"", NBRB, cboe-volatility-index-futures-jul-22-index
"", NBRB, cboe-volatility-index-futures-may-2022-index
"", NBRB, cboe-volatility-index-futures-vxv21-index
"", NBRB, cboe-volatility-index-futures-oct-22-index
"", NBRB, cboe-volatility-index-futures-sept-22-index
"", NBRB, italy-40-futures-sep-22-index
"", CCSTV, us-tech-100-index
"", CCSTV, us-wall-street-30-index
"", CCSTV, sp-500-index
"", CCSTV, germany-40-index
"", CCSTV, india-50-index
"", CCSTV, hong-kong-50-index
"", CCSTV, ftse-100-uk-market-index
"", CCSTV, france-40-index
"", CCSTV, cboe-volatility-index-index
"", CCSTV, us-smallcap-2000-index
"", CCSTV, japan-225-index
"", CCSTV, us-dollar-index
"", CCSTV, ftse-china-a50-index
"", CCSTV, euro-stoxx50-sx5e-index
"", CCSTV, spain-35-index
"", CCSTV, australia-200-index
"", CCSTV, netherlands-exchange-25-index
"", CCSTV, swiss-stock-exchange-20-index
"", CCSTV, ftse-borsa-italiana-index-40-index
"", CCSTV, msci-singapore-index-25-index
"", CCSTV, cboe-volatility-index-futures-aug-22-index
"", CCSTV, cboe-volatility-index-futures-vxn21-index
"", CCSTV, cboe-volatility-index-futures-jul-22-index
"", CCSTV, cboe-volatility-index-futures-may-2022-index
"", CCSTV, cboe-volatility-index-futures-vxv21-index
"", CCSTV, cboe-volatility-index-futures-oct-22-index
"", CCSTV, cboe-volatility-index-futures-sept-22-index
"", CCSTV, italy-40-futures-sep-22-index
"", FSA, us-tech-100-index
"", FSA, us-wall-street-30-index
"", FSA, sp-500-index
"", FSA, germany-40-index
"", FSA, india-50-index
"", FSA, hong-kong-50-index
"", FSA, ftse-100-uk-market-index
"", FSA, france-40-index
"", FSA, cboe-volatility-index-index
"", FSA, us-smallcap-2000-index
"", FSA, japan-225-index
"", FSA, us-dollar-index
"", FSA, ftse-china-a50-index
"", FSA, euro-stoxx50-sx5e-index
"", FSA, spain-35-index
"", FSA, australia-200-index
"", FSA, netherlands-exchange-25-index
"", FSA, swiss-stock-exchange-20-index
"", FSA, ftse-borsa-italiana-index-40-index
"", FSA, msci-singapore-index-25-index
"", FSA, cboe-volatility-index-futures-aug-22-index
"", FSA, cboe-volatility-index-futures-vxn21-index
"", FSA, cboe-volatility-index-futures-jul-22-index
"", FSA, cboe-volatility-index-futures-may-2022-index
"", FSA, cboe-volatility-index-futures-vxv21-index
"", FSA, cboe-volatility-index-futures-oct-22-index
"", FSA, cboe-volatility-index-futures-sept-22-index
"", FSA, italy-40-futures-sep-22-index
"", SCB, us-tech-100-index
"", SCB, us-wall-street-30-index
"", SCB, sp-500-index
"", SCB, germany-40-index
"", SCB, india-50-index
"", SCB, hong-kong-50-index
"", SCB, ftse-100-uk-market-index
"", SCB, france-40-index
"", SCB, cboe-volatility-index-index
"", SCB, us-smallcap-2000-index
"", SCB, japan-225-index
"", SCB, us-dollar-index
"", SCB, ftse-china-a50-index
"", SCB, euro-stoxx50-sx5e-index
"", SCB, spain-35-index
"", SCB, australia-200-index
"", SCB, netherlands-exchange-25-index
"", SCB, swiss-stock-exchange-20-index
"", SCB, ftse-borsa-italiana-index-40-index
"", SCB, msci-singapore-index-25-index
"", SCB, cboe-volatility-index-futures-aug-22-index
"", SCB, cboe-volatility-index-futures-vxn21-index
"", SCB, cboe-volatility-index-futures-jul-22-index
"", SCB, cboe-volatility-index-futures-may-2022-index
"", SCB, cboe-volatility-index-futures-vxv21-index
"", SCB, cboe-volatility-index-futures-oct-22-index
"", SCB, cboe-volatility-index-futures-sept-22-index
"", SCB, italy-40-futures-sep-22-index
